,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,500
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,400
n_charging_zones,100
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,500
sim_duration,5270400.0
tot_potential_charging_energy,2166720.0
n_same_zone_trips,20276
n_not_same_zone_trips,7748
n_no_close_vehicles,1465
n_deaths,0
n_booking_reqs,29489
n_bookings,28024
n_unsatisfied,1465
fraction_satisfied,0.950320458476042
fraction_unsatisfied,0.04967954152395804
fraction_same_zone_trips,0.6875784190715182
fraction_not_same_zone_trips,0.26274203940452373
fraction_no_close_vehicles,0.049679541523958086
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.7235226948330002
fraction_not_same_zone_trips_satisfied,0.2764773051669997
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,969
tot_mobility_distance,166347735.5052307
tot_mobility_duration,49567758.654365994
cum_relo_ret_t,80702.4792467329
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,969
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,61.42686433529743
soc_med,61.20235333072927
charging_time_avg,5.233422549201108
charging_time_med,5.203958367293984
n_charges_by_vehicle_avg,2.04
n_charges_by_vehicle_system_avg,2.04
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,39962.70373151703
tot_potential_tanktowheel_energy,31500.767494659423
tot_potential_mobility_energy,71463.47122617647
tot_potential_welltotank_co2_emissions,15779.134582959297
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,15779.134582959297
tot_welltotank_energy,39962.70373151703
tot_tanktowheel_energy,31500.767494659423
tot_mobility_energy,71463.47122617647
tot_welltotank_co2_emissions,15779.134582959297
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,15779.134582959297
tot_charging_energy,29210.033953013033
tot_charging_return_distance,835395.3014848646
fraction_charges_system,1.0
fraction_energy_system,1.0000000000000002
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18840.321177123988
charging_energy_event_avg,30.144513883398382
charging_energy_event_max,36.45228937098379
charging_energy_event_med,29.974800195613348
cum_relo_out_t,0.0
cum_relo_t,80702.4792467329
cum_relo_khw,158.72986917819952
avg_hourly_relo_t,3362.6033019472047
max_driving_distance,41883.47752455863
percentage_satisfied,95.0320458476042
percentage_unsatisfied,4.967954152395803
percentage_same_zone_trips,68.75784190715181
percentage_not_same_zone_trips,26.274203940452374
percentage_no_close_vehicles,4.967954152395809
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,72.35226948330002
percentage_not_same_zone_trips_satisfied,27.64773051669997
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.00000000000003
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,166666.66666666666
charging_infrastructure_cost,16843.133333333335
scenario_cost,183509.8
relocation_cost,515.5991729652379
energy_cost,2881.0076937823933
revenues,214793.62083558596
washing_cost,5125.24
sim_cost,8521.84686674763
profit,22761.973968838338
