,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,200
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,400
n_charging_zones,10
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,200
sim_duration,5270400.0
tot_potential_charging_energy,2166720.0
n_same_zone_trips,11597
n_not_same_zone_trips,11307
n_no_close_vehicles,6585
n_deaths,0
n_booking_reqs,29489
n_bookings,22904
n_unsatisfied,6585
fraction_satisfied,0.7766963952660314
fraction_unsatisfied,0.2233036047339686
fraction_same_zone_trips,0.3932652853606429
fraction_not_same_zone_trips,0.3834311099053884
fraction_no_close_vehicles,0.2233036047339686
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.506330771917569
fraction_not_same_zone_trips_satisfied,0.493669228082431
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,860
tot_mobility_distance,135773426.63209906
tot_mobility_duration,40363958.047029
cum_relo_ret_t,216709.55260131508
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,860
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,61.735995226127244
soc_med,61.72164058904587
charging_time_avg,5.25400482093666
charging_time_med,5.20447283351886
n_charges_by_vehicle_avg,4.3
n_charges_by_vehicle_system_avg,4.3
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,32588.928134916772
tot_potential_tanktowheel_energy,25688.35819956189
tot_potential_mobility_energy,58277.28633447866
tot_potential_welltotank_co2_emissions,12867.624933737685
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,12867.624933737685
tot_welltotank_energy,32588.928134916772
tot_tanktowheel_energy,25688.35819956189
tot_mobility_energy,58277.28633447866
tot_welltotank_co2_emissions,12867.624933737685
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,12867.624933737685
tot_charging_energy,26026.238280991845
tot_charging_return_distance,2243278.5673973537
fraction_charges_system,1.0
fraction_energy_system,1.0
fraction_duration_system,1.0000000000000002
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18914.417355371977
charging_energy_event_avg,30.263067768595167
charging_energy_event_max,35.69822472583166
charging_energy_event_med,29.97776352106864
cum_relo_out_t,0.0
cum_relo_t,216709.55260131508
cum_relo_khw,426.2357148769434
avg_hourly_relo_t,9029.564691721462
max_driving_distance,41883.47752455863
percentage_satisfied,77.66963952660313
percentage_unsatisfied,22.33036047339686
percentage_same_zone_trips,39.326528536064295
percentage_not_same_zone_trips,38.34311099053884
percentage_no_close_vehicles,22.33036047339686
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,50.633077191756904
percentage_not_same_zone_trips_satisfied,49.3669228082431
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.0
percentage_duration_system,100.00000000000003
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,66666.66666666667
charging_infrastructure_cost,16843.133333333335
scenario_cost,83509.8
relocation_cost,1384.533252730624
energy_cost,2349.4144270015977
revenues,174910.48487045904
washing_cost,4529.04
sim_cost,8262.987679732221
profit,83137.69719072682
