,0
engine_type,gasoline
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Seat Leon 1.5 TSI 2020
n_vehicles,50
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,400
n_charging_zones,100
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,6.303427542431827
n_vehicles_sim,50
sim_duration,5270400.0
tot_potential_charging_energy,2166720.0
n_same_zone_trips,3566
n_not_same_zone_trips,6993
n_no_close_vehicles,18930
n_deaths,0
n_booking_reqs,29489
n_bookings,10559
n_unsatisfied,18930
fraction_satisfied,0.35806571942080095
fraction_unsatisfied,0.641934280579199
fraction_same_zone_trips,0.12092644714978466
fraction_not_same_zone_trips,0.2371392722710163
fraction_no_close_vehicles,0.641934280579199
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.33772137513022066
fraction_not_same_zone_trips_satisfied,0.6622786248697793
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,97
tot_mobility_distance,63191658.85954517
tot_mobility_duration,18441781.874268
cum_relo_ret_t,8036.927814551869
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,97
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,54.02836815179789
soc_med,54.22957666148004
charging_time_avg,0.016303800715923963
charging_time_med,0.016267124860043156
n_charges_by_vehicle_avg,1.94
n_charges_by_vehicle_system_avg,1.94
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,8950.61182216804
tot_potential_tanktowheel_energy,37294.21592570017
tot_potential_mobility_energy,46244.827747868214
tot_potential_welltotank_co2_emissions,2282.406014652851
tot_potential_welltowheel_co2_emissions,9915.307503851822
tot_potential_co2_emissions_kg,12197.713518504672
tot_welltotank_energy,8950.61182216804
tot_tanktowheel_energy,37294.21592570018
tot_mobility_energy,46244.82774786821
tot_welltotank_co2_emissions,2282.4060146528504
tot_tanktowheel_co2_emissions,9915.307503851822
tot_co2_emissions_kg,12197.713518504674
tot_charging_energy,36163.58544590779
tot_charging_return_distance,83194.61554734646
fraction_charges_system,1.0
fraction_energy_system,1.0
fraction_duration_system,0.9999999999999999
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,58.69368257732627
charging_energy_event_avg,372.82046851451327
charging_energy_event_max,391.9139183533264
charging_energy_event_med,371.98179843930217
cum_relo_out_t,0.0
cum_relo_t,8036.927814551869
cum_relo_khw,49.42690815143924
avg_hourly_relo_t,349.4316441109508
max_driving_distance,41883.47752455863
percentage_satisfied,35.8065719420801
percentage_unsatisfied,64.1934280579199
percentage_same_zone_trips,12.092644714978466
percentage_not_same_zone_trips,23.71392722710163
percentage_no_close_vehicles,64.1934280579199
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,33.77213751302207
percentage_not_same_zone_trips_satisfied,66.22786248697793
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.0
percentage_duration_system,99.99999999999999
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,12600.0
charging_infrastructure_cost,0
scenario_cost,12600.0
relocation_cost,51.3470388151925
energy_cost,2181.09762607297
revenues,79914.388121828
washing_cost,2299.7200000000003
sim_cost,4532.164664888163
profit,62782.223456939835
