,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,200
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,50
n_charging_zones,100
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,200
sim_duration,5270400.0
tot_potential_charging_energy,270840.0
n_same_zone_trips,9784
n_not_same_zone_trips,11223
n_no_close_vehicles,8482
n_deaths,0
n_booking_reqs,29489
n_bookings,21007
n_unsatisfied,8482
fraction_satisfied,0.7123673234087287
fraction_unsatisfied,0.28763267659127134
fraction_same_zone_trips,0.33178473329037944
fraction_not_same_zone_trips,0.3805825901183492
fraction_no_close_vehicles,0.28763267659127134
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.4657495120674061
fraction_not_same_zone_trips_satisfied,0.5342504879325939
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,810
tot_mobility_distance,124526859.5742149
tot_mobility_duration,36898826.552057
cum_relo_ret_t,102063.69497361664
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,810
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,61.123482491439226
soc_med,60.71291926190009
charging_time_avg,5.248297269640583
charging_time_med,5.200413611363587
n_charges_by_vehicle_avg,4.05
n_charges_by_vehicle_system_avg,4.05
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,29877.15025520375
tot_potential_tanktowheel_energy,23550.788002612717
tot_potential_mobility_energy,53427.938257816466
tot_potential_welltotank_co2_emissions,11796.888869167125
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,11796.888869167125
tot_welltotank_energy,29877.15025520375
tot_tanktowheel_energy,23550.788002612717
tot_mobility_energy,53427.938257816466
tot_welltotank_co2_emissions,11796.888869167124
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,11796.888869167124
tot_charging_energy,24486.455741235106
tot_charging_return_distance,1056516.87567697
fraction_charges_system,1.0
fraction_energy_system,1.0
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18893.870170706097
charging_energy_event_avg,30.23019227312976
charging_energy_event_max,36.53873545483717
charging_energy_event_med,29.954382401454264
cum_relo_out_t,0.0
cum_relo_t,102063.69497361664
cum_relo_khw,200.74422870548528
avg_hourly_relo_t,4252.653957234026
max_driving_distance,41883.47752455863
percentage_satisfied,71.23673234087286
percentage_unsatisfied,28.763267659127134
percentage_same_zone_trips,33.17847332903794
percentage_not_same_zone_trips,38.05825901183492
percentage_no_close_vehicles,28.763267659127134
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,46.574951206740614
percentage_not_same_zone_trips_satisfied,53.425048793259386
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.0
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,66666.66666666667
charging_infrastructure_cost,2105.391666666667
scenario_cost,68772.05833333333
relocation_cost,652.0736067758841
energy_cost,2153.9158194056213
revenues,159894.91505891367
washing_cost,4260.07
sim_cost,7066.059426181505
profit,84056.79729939884
