,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,200
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,100
n_charging_zones,10
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,200
sim_duration,5270400.0
tot_potential_charging_energy,541680.0
n_same_zone_trips,11579
n_not_same_zone_trips,11318
n_no_close_vehicles,6592
n_deaths,0
n_booking_reqs,29489
n_bookings,22897
n_unsatisfied,6592
fraction_satisfied,0.7764590186171114
fraction_unsatisfied,0.22354098138288858
fraction_same_zone_trips,0.39265488826342027
fraction_not_same_zone_trips,0.3838041303536912
fraction_no_close_vehicles,0.22354098138288853
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.5056994366074158
fraction_not_same_zone_trips_satisfied,0.49430056339258416
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,857
tot_mobility_distance,135997300.01303524
tot_mobility_duration,40404077.631027
cum_relo_ret_t,217294.28934772668
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,857
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,61.59107732693352
soc_med,61.50340841600202
charging_time_avg,5.251322023056976
charging_time_med,5.202528182236883
n_charges_by_vehicle_avg,4.285
n_charges_by_vehicle_system_avg,4.285
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,32620.79256984613
tot_potential_tanktowheel_energy,25713.47547297767
tot_potential_mobility_energy,58334.268042823795
tot_potential_welltotank_co2_emissions,12880.206495048902
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,12880.206495048902
tot_welltotank_energy,32620.792569846126
tot_tanktowheel_energy,25713.475472977672
tot_mobility_energy,58334.2680428238
tot_welltotank_co2_emissions,12880.206495048902
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,12880.206495048902
tot_charging_energy,25922.205928856616
tot_charging_return_distance,2249331.495821825
fraction_charges_system,1.0
fraction_energy_system,1.0000000000000002
fraction_duration_system,1.0000000000000002
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18904.759283005114
charging_energy_event_avg,30.247614852808187
charging_energy_event_max,36.23856119833496
charging_energy_event_med,29.966562329684457
cum_relo_out_t,0.0
cum_relo_t,217294.28934772668
cum_relo_khw,427.38580578031997
avg_hourly_relo_t,9053.928722821945
max_driving_distance,41883.47752455863
percentage_satisfied,77.64590186171114
percentage_unsatisfied,22.354098138288858
percentage_same_zone_trips,39.26548882634203
percentage_not_same_zone_trips,38.38041303536912
percentage_no_close_vehicles,22.35409813828885
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,50.56994366074158
percentage_not_same_zone_trips_satisfied,49.430056339258414
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.00000000000003
percentage_duration_system,100.00000000000003
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,66666.66666666667
charging_infrastructure_cost,4210.783333333334
scenario_cost,70877.45000000001
relocation_cost,1388.2690708326982
energy_cost,2351.7116109660833
revenues,175084.336401117
washing_cost,4513.97
sim_cost,8253.950681798782
profit,95952.93571931821
