,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,1000
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,400
n_charging_zones,100
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,1000
sim_duration,5270400.0
tot_potential_charging_energy,2166720.0
n_same_zone_trips,23043
n_not_same_zone_trips,5602
n_no_close_vehicles,844
n_deaths,0
n_booking_reqs,29489
n_bookings,28645
n_unsatisfied,844
fraction_satisfied,0.9713791583302248
fraction_unsatisfied,0.028620841669775188
fraction_same_zone_trips,0.7814100172945844
fraction_not_same_zone_trips,0.18996914103564042
fraction_no_close_vehicles,0.02862084166977517
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.8044335835224298
fraction_not_same_zone_trips_satisfied,0.19556641647757025
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,840
tot_mobility_distance,169766127.5367362
tot_mobility_duration,50709182.663802
cum_relo_ret_t,73333.76684186928
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,840
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,59.43061285712338
soc_med,57.71001888369351
charging_time_avg,5.24156776819969
charging_time_med,5.198605447599564
n_charges_by_vehicle_avg,1.2883435582822085
n_charges_by_vehicle_system_avg,1.2883435582822085
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,40796.951274384344
tot_potential_tanktowheel_energy,32158.366591492515
tot_potential_mobility_energy,72955.31786587686
tot_potential_welltotank_co2_emissions,16108.53432384882
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,16108.53432384882
tot_welltotank_energy,40796.95127438435
tot_tanktowheel_energy,32158.366591492508
tot_mobility_energy,72955.31786587686
tot_welltotank_co2_emissions,16108.53432384882
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,16108.53432384882
tot_charging_energy,25360.801489657388
tot_charging_return_distance,759117.7474558726
fraction_charges_system,1.0
fraction_energy_system,0.9999999999999999
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18869.643965518884
charging_energy_event_avg,30.191430344830223
charging_energy_event_max,34.927093030372454
charging_energy_event_med,29.94396737817349
cum_relo_out_t,0.0
cum_relo_t,73333.76684186928
cum_relo_khw,144.23669911758913
avg_hourly_relo_t,3055.5736184112193
max_driving_distance,41883.47752455863
percentage_satisfied,97.13791583302248
percentage_unsatisfied,2.8620841669775188
percentage_same_zone_trips,78.14100172945844
percentage_not_same_zone_trips,18.99691410356404
percentage_no_close_vehicles,2.862084166977517
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,80.44335835224298
percentage_not_same_zone_trips_satisfied,19.556641647757026
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,99.99999999999999
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,333333.3333333333
charging_infrastructure_cost,16843.133333333335
scenario_cost,350176.4666666667
relocation_cost,468.5212881563871
energy_cost,2941.1506111802523
revenues,219739.791543142
washing_cost,4486.45
sim_cost,7896.121899336639
profit,-138332.7970228613
