,0
engine_type,electric
year_energymix,2020
vehicles_config_mode,sim_config
vehicles_initial_placement,random_greedy
vehicle_model_name,Fiat 500e 2020
n_vehicles,200
stations_config_mode,sim_config
distributed_cps,True
system_cps,True
profile_type,single_phase_2
charging_config_mode,sim_config
cps_placement_policy,num_parkings
tot_n_charging_poles,10
n_charging_zones,1
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
queuing,True
n_workers,1
alpha_policy,auto
beta,100
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
cps_zones_percentage,0.0019157088122605363
city,Roma
data_source_id,enjoy
city_scenario_folder,default
alpha,21.31273069411744
n_vehicles_sim,200
sim_duration,5270400.0
tot_potential_charging_energy,54168.0
n_same_zone_trips,7028
n_not_same_zone_trips,10090
n_no_close_vehicles,12371
n_deaths,0
n_booking_reqs,29489
n_bookings,17118
n_unsatisfied,12371
fraction_satisfied,0.5804876394587812
fraction_unsatisfied,0.41951236054121877
fraction_same_zone_trips,0.238326155515616
fraction_not_same_zone_trips,0.34216148394316526
fraction_no_close_vehicles,0.41951236054121877
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,0.41056198153989953
fraction_not_same_zone_trips_satisfied,0.5894380184601005
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,671
tot_mobility_distance,101384207.35301024
tot_mobility_duration,30134183.504334997
cum_relo_ret_t,322614.74640760163
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
n_charging_requests_system,671
n_charges_system,0
n_charges_users,0
n_charge_deaths,11
fraction_charge_deaths,0.01639344262295082
soc_avg,61.0042980740757
soc_med,60.49082542784015
charging_time_avg,5.258832956707827
charging_time_med,5.206710209728922
n_charges_by_vehicle_avg,3.355
n_charges_by_vehicle_system_avg,3.355
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,174653176.19028413
tot_potential_mobility_duration,52182532.62708
tot_potential_welltotank_energy,24325.396453231187
tot_potential_tanktowheel_energy,19174.594968265927
tot_potential_mobility_energy,43499.991421497114
tot_potential_welltotank_co2_emissions,9604.798188783734
tot_potential_welltowheel_co2_emissions,0.0
tot_potential_co2_emissions_kg,9604.798188783734
tot_welltotank_energy,24325.396453231184
tot_tanktowheel_energy,19174.59496826593
tot_mobility_energy,43499.991421497114
tot_welltotank_co2_emissions,9604.798188783734
tot_tanktowheel_co2_emissions,0.0
tot_co2_emissions_kg,9604.798188783734
tot_charging_energy,20325.179024357487
tot_charging_return_distance,3078508.1623691344
fraction_charges_system,1.0
fraction_energy_system,1.0
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,18931.798644148177
charging_energy_event_avg,30.29087783063709
charging_energy_event_max,35.28195373268427
charging_energy_event_med,29.990650808038595
cum_relo_out_t,0.0
cum_relo_t,322614.74640760163
cum_relo_khw,634.5356049803106
avg_hourly_relo_t,13442.281100316735
max_driving_distance,41883.47752455863
percentage_satisfied,58.04876394587812
percentage_unsatisfied,41.95123605412188
percentage_same_zone_trips,23.832615551561602
percentage_not_same_zone_trips,34.21614839431653
percentage_no_close_vehicles,41.95123605412188
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,41.05619815398995
percentage_not_same_zone_trips_satisfied,58.94380184601005
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,1.639344262295082
percentage_charges_system,100.0
percentage_energy_system,100.0
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,66666.66666666667
charging_infrastructure_cost,421.0783333333334
scenario_cost,67087.74500000001
relocation_cost,2061.1497687152323
energy_cost,1753.6764981393214
revenues,130581.46185211833
washing_cost,3526.18
sim_cost,7341.006266854554
profit,56152.71058526376
