,engine_type,year_energymix,vehicles_config_mode,vehicles_initial_placement,vehicle_model_name,n_vehicles,stations_config_mode,distributed_cps,system_cps,profile_type,charging_config_mode,cps_placement_policy,tot_n_charging_poles,n_charging_zones,charging_strategy,charging_relocation_strategy,queuing,n_workers,alpha_policy,beta,battery_swap,avg_reach_time,avg_service_time,relocation,relocation_strategy,relocation_technique,n_relocation_workers,avg_relocation_speed,relocation_capacity,relocation_profitability_check,relocation_vehicle_consumption,diesel_price,unlock_fee,rent_fee,avg_relocation_distance,avg_trip_duration,cps_zones_percentage,city,data_source_id,city_scenario_folder,alpha,n_vehicles_sim,sim_duration,tot_potential_charging_energy,n_same_zone_trips,n_not_same_zone_trips,n_no_close_vehicles,n_deaths,n_booking_reqs,n_bookings,n_unsatisfied,fraction_satisfied,fraction_unsatisfied,fraction_same_zone_trips,fraction_not_same_zone_trips,fraction_no_close_vehicles,fraction_not_enough_energy,fraction_same_zone_trips_satisfied,fraction_not_same_zone_trips_satisfied,fraction_no_close_vehicles_unsatisfied,fraction_deaths_unsatisfied,n_charges,tot_mobility_distance,tot_mobility_duration,cum_relo_ret_t,min_vehicles_relocated,max_vehicles_relocated,avg_relocation_step_distance,tot_vehicles_moved,n_charging_requests_system,n_charges_system,n_charges_users,n_charge_deaths,fraction_charge_deaths,soc_avg,soc_med,charging_time_avg,charging_time_med,n_charges_by_vehicle_avg,n_charges_by_vehicle_system_avg,n_charges_by_vehicle_users_avg,tot_potential_mobility_distance,tot_potential_mobility_duration,tot_potential_welltotank_energy,tot_potential_tanktowheel_energy,tot_potential_mobility_energy,tot_potential_welltotank_co2_emissions,tot_potential_welltowheel_co2_emissions,tot_potential_co2_emissions_kg,tot_welltotank_energy,tot_tanktowheel_energy,tot_mobility_energy,tot_welltotank_co2_emissions,tot_tanktowheel_co2_emissions,tot_co2_emissions_kg,tot_charging_energy,tot_charging_return_distance,fraction_charges_system,fraction_energy_system,fraction_duration_system,fraction_charges_users,fraction_energy_users,fraction_duration_users,charging_duration_avg,charging_energy_event_avg,charging_energy_event_max,charging_energy_event_med,cum_relo_out_t,cum_relo_t,cum_relo_khw,avg_hourly_relo_t,max_driving_distance,percentage_satisfied,percentage_unsatisfied,percentage_same_zone_trips,percentage_not_same_zone_trips,percentage_no_close_vehicles,percentage_not_enough_energy,percentage_same_zone_trips_satisfied,percentage_not_same_zone_trips_satisfied,percentage_no_close_vehicles_unsatisfied,percentage_deaths_unsatisfied,percentage_charge_deaths,percentage_charges_system,percentage_energy_system,percentage_duration_system,percentage_charges_users,percentage_energy_users,percentage_duration_users,cars_cost,charging_infrastructure_cost,scenario_cost,relocation_cost,energy_cost,revenues,washing_cost,sim_cost,profit
0,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,20,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,20,5270400.0,2166720.0,1411,3428,24650,0,29489,4839,24650,0.16409508630336736,0.8359049136966327,0.047848350232290005,0.11624673607107736,0.8359049136966327,0.0,0.2915891713163877,0.7084108286836123,1.0,0.0,42,28494484.196185503,8342916.409275,3811.285033924356,inf,-inf,NA,0,42,0,0,0,0.0,53.328178794661575,52.41250156006286,0.01629555574440456,0.01623457933984812,2.1,2.1,0,174653176.19028413,52182532.62708,4029.593705204897,16789.97377168707,20819.567476891967,1027.5463948272488,4463.9027472665275,5491.449142093777,4029.5937052048967,16789.973771687073,20819.567476891963,1027.5463948272488,4463.9027472665275,5491.449142093776,15650.54106057485,39452.686456208015,1.0,1.0000000000000002,1.0000000000000002,0,0,0,58.66400067985641,372.6319300136869,385.55527517593146,371.2375771194653,0.0,3811.285033924356,23.43930910635384,181.48976352020742,41883.47752455863,16.409508630336735,83.59049136966327,4.784835023229,11.624673607107736,83.59049136966327,0.0,29.158917131638766,70.84108286836123,100.0,0.0,0.0,100.0,100.00000000000003,100.00000000000003,0,0,0,5040.0,0,5040.0,24.34987660562783,981.9370383925447,36152.637773525,1017.12,2023.4069149981724,29089.230858526826
1,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,40,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,40,5270400.0,2166720.0,2872,5930,20687,0,29489,8802,20687,0.29848418054189696,0.701515819458103,0.09739224795686527,0.20109193258503172,0.701515819458103,0.0,0.3262894796637128,0.6737105203362872,1.0,0.0,79,52227611.9965368,15300300.248698,6374.399469308389,inf,-inf,NA,0,79,0,0,0,0.0,53.177111445658895,52.99098759466969,0.016273173660934157,0.016248364409946845,1.975,1.975,0,174653176.19028413,52182532.62708,7400.529933477986,30835.541389491606,38236.07132296959,1887.1351330368866,8198.158007495887,10085.293140532774,7400.529933477986,30835.541389491606,38236.07132296959,1887.1351330368864,8198.15800749589,10085.293140532774,29397.489235892634,65984.87947522897,1.0,1.0,1.0,0,0,0,58.58342517936296,372.12011691003335,385.4634384425623,371.55280154978436,0.0,6374.399469308389,39.20239976768492,289.74543042310853,41883.47752455863,29.848418054189697,70.1515819458103,9.739224795686527,20.109193258503172,70.1515819458103,0.0,32.62894796637128,67.37105203362871,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,10080.0,0,10080.0,40.72532994280359,1803.3715002156134,66301.30107769133,1889.1599999999999,3733.256830158417,52488.04424753291
2,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,60,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,60,5270400.0,2166720.0,4299,7892,17298,0,29489,12191,17298,0.41340838956899184,0.5865916104310082,0.14578317338668656,0.2676252161823053,0.5865916104310082,0.0,0.3526371913706833,0.6473628086293167,1.0,0.0,108,72916498.99150872,21320209.024839997,9709.228623257963,inf,-inf,NA,0,108,0,0,0,0.0,53.38288366521339,53.31351997079648,0.01627166361658197,0.01624318740074022,1.8,1.8,0,174653176.19028413,52182532.62708,10335.769257817316,43065.705240905474,53401.47449872279,2635.6211607434147,11449.757012844451,14085.378173587866,10335.769257817314,43065.705240905474,53401.47449872279,2635.621160743415,11449.757012844453,14085.378173587866,40185.243351810226,100505.51170942397,1.0,1.0000000000000002,1.0,0,0,0,58.577989019695096,372.0855865908354,387.9588351981113,371.43441841743703,0.0,9709.228623257963,59.71151694484326,422.1403749242591,41883.47752455863,41.340838956899184,58.659161043100816,14.578317338668656,26.76252161823053,58.659161043100816,0.0,35.26371913706833,64.73628086293168,100.0,0.0,0.0,100.0,100.00000000000003,100.0,0,0,0,15120.0,0,15120.0,62.03118287081476,2518.634730201362,92387.57244097332,2595.2799999999997,5175.945913072177,72091.62652790114
3,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,80,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,80,5270400.0,2166720.0,5737,9216,14536,0,29489,14953,14536,0.5070704330428295,0.4929295669571705,0.1945471192648106,0.3125233137780189,0.4929295669571705,0.0,0.3836688289975256,0.6163311710024744,1.0,0.0,134,89327346.58085588,26259368.565283,11707.513791950398,inf,-inf,NA,0,134,0,0,0,0.0,53.33508165190873,53.468491687306184,0.016279124935730797,0.01625598538693108,1.675,1.675,0,174653176.19028413,52182532.62708,12671.87634359767,52799.484764990295,65471.36110858797,3231.3284676174067,14037.649391337603,17268.97785895501,12671.876343597669,52799.484764990295,65471.36110858797,3231.3284676174067,14037.649391337603,17268.97785895501,49882.33150254139,121190.84946526652,1.0,1.0,1.0,0,0,0,58.60484976863087,372.2562052428462,381.9448356492134,371.72707111179045,0.0,11707.513791950398,72.00092152485088,557.5006567595427,41883.47752455863,50.70704330428295,49.29295669571705,19.45471192648106,31.25233137780189,49.29295669571705,0.0,38.36688289975256,61.63311710024744,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,20160.0,0,20160.0,74.79800478190532,3087.9005770821605,113790.59711622634,3206.24,6368.938581864066,87261.65853436227
4,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,100,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,100,5270400.0,2166720.0,7009,10195,12285,0,29489,17204,12285,0.5834039811455118,0.41659601885448816,0.2376818474685476,0.3457221336769643,0.4165960188544881,0.0,0.40740525459195537,0.5925947454080447,1.0,0.0,152,102542245.9269321,30173376.232428,11294.04512222858,inf,-inf,NA,0,152,0,0,0,0.0,52.481637218304286,51.690464248663716,0.016280359780099694,0.0162483980378845,1.52,1.52,0,174653176.19028413,52182532.62708,14551.711759245964,60632.13233019152,75183.84408943748,3710.686498607721,16120.093203348335,19830.779701956057,14551.711759245965,60632.132330191525,75183.84408943748,3710.6864986077217,16120.093203348335,19830.779701956057,56587.23526599239,116910.81015023171,1.0,1.0,1.0,0,0,0,58.6092952083589,372.28444253942365,386.6651052067417,371.5535705228409,0.0,11294.04512222858,69.45809938766119,491.04544009689477,41883.47752455863,58.340398114551185,41.659601885448815,23.768184746854757,34.57221336769643,41.65960188544881,0.0,40.74052545919554,59.25947454080447,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,25200.0,0,25200.0,72.15639939201593,3545.9815042790738,130751.297007188,3656.3199999999997,7274.457903671089,98276.8391035169
5,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,120,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,120,5270400.0,2166720.0,8288,10795,10406,0,29489,19083,10406,0.6471226559055919,0.3528773440944081,0.2810539523212045,0.3660687035843874,0.3528773440944081,0.0,0.43431326311376617,0.5656867368862338,1.0,0.0,168,113678569.21286432,33578583.517248005,15352.512612536006,inf,-inf,NA,0,168,0,0,0,0.0,52.999412491196196,52.4918245270727,0.016282753722989284,0.016243827581753165,1.4,1.4,0,174653176.19028413,52182532.62708,16130.29877175271,67209.57821563628,83339.876987389,4113.226186796941,17868.82010175156,21982.046288548503,16130.298771752707,67209.57821563628,83339.876987389,4113.226186796941,17868.82010175156,21982.046288548503,62552.98308764332,158922.21679198174,1.0,1.0,1.0,0,0,0,58.617913402761424,372.3391850454959,390.90664763495295,371.4490574938915,0.0,15352.512612536006,94.4175745139427,667.5005483711305,41883.47752455863,64.7122655905592,35.28773440944081,28.10539523212045,36.60687035843874,35.28773440944081,0.0,43.431326311376615,56.568673688623385,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,30240.0,0,30240.0,98.08549724675781,3930.653798635605,145507.19524140802,4046.6400000000003,8075.379295882363,107191.81594552565
6,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,140,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,140,5270400.0,2166720.0,9391,11128,8970,0,29489,20519,8970,0.6958187798840245,0.3041812201159755,0.31845773000101735,0.3773610498830072,0.3041812201159754,0.0,0.4576733758955115,0.5423266241044885,1.0,0.0,165,122111007.96555805,36084954.16797,14107.04433996572,inf,-inf,NA,0,165,0,0,0,0.0,52.589858421155135,51.99363040222875,0.01627828493567115,0.016246573594031095,1.1870503597122302,1.1870503597122302,0,174653176.19028413,52182532.62708,17330.836634869964,72211.8193119582,89542.65594682815,4419.363341891842,19198.751766684545,23618.11510857639,17330.836634869964,72211.8193119582,89542.65594682816,4419.363341891842,19198.751766684538,23618.115108576385,61419.10448625387,146029.6966022033,1.0,1.0,1.0,0,0,0,58.60182576841614,372.2369968863871,380.5009640325899,371.5118508021418,0.0,14107.04433996572,86.75797530709133,641.22928818026,41883.47752455863,69.58187798840245,30.418122011597546,31.845773000101733,37.736104988300724,30.418122011597543,0.0,45.76733758955115,54.23266241044885,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,35280.0,0,35280.0,90.12833883866988,4223.202546730181,156368.13472787003,4116.52,8429.850885568852,112658.28384230117
7,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,160,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,160,5270400.0,2166720.0,10434,11289,7766,0,29489,21723,7766,0.7366475634982536,0.26335243650174645,0.35382685069008785,0.38282071280816576,0.2633524365017464,0.0,0.4803203977351195,0.5196796022648805,1.0,0.0,174,129277820.07819492,38197525.219786,13929.085183856929,inf,-inf,NA,0,174,0,0,0,0.0,53.259524225966196,52.71838316167392,0.016275490280648595,0.016242287084382336,1.1012658227848102,1.1012658227848102,0,174653176.19028413,52182532.62708,18352.367456633474,76468.1977359728,94820.5651926063,4679.853701441536,20330.383036556126,25010.236737997664,18352.367456633474,76468.19773597282,94820.5651926063,4679.853701441537,20330.383036556126,25010.236737997668,64758.11787926557,144187.54448671525,1.0,0.9999999999999998,1.0,0,0,0,58.59176501033494,372.173091260147,385.8727229275209,371.41383080279377,0.0,13929.085183856929,85.66353087923784,580.378549327372,41883.47752455863,73.66475634982535,26.335243650174643,35.38268506900879,38.282071280816574,26.33524365017464,0.0,48.03203977351195,51.96796022648805,100.0,0.0,0.0,100.0,99.99999999999997,100.0,0,0,0,40320.0,0,40320.0,88.99137756353038,4472.1306082500105,165522.60928573934,4347.84,8908.961985813541,116293.6472999258
8,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,180,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,180,5270400.0,2166720.0,11590,11278,6621,0,29489,22868,6621,0.775475601071586,0.22452439892841403,0.393027908711723,0.382447692359863,0.224524398928414,0.0,0.5068217596641595,0.49317824033584046,1.0,0.0,181,136113857.99626052,40229276.415763006,14555.947128153324,inf,-inf,NA,0,181,0,0,0,0.0,53.61659379357467,53.69558851954886,0.016280886572300757,0.016234974556011632,1.0225988700564972,1.0225988700564972,0,174653176.19028413,52182532.62708,19329.349090145894,80538.95454227456,99868.30363242046,4928.984017987203,21412.663612940756,26341.647630927957,19329.349090145894,80538.95454227456,99868.30363242044,4928.984017987203,21412.663612940753,26341.647630927957,67385.66446262418,150676.53376973132,1.0,1.0,1.0,0,0,0,58.61119166028273,372.29648874378,388.0779874959791,371.2466145628082,0.0,14555.947128153324,89.51871640028612,606.4977970063884,41883.47752455863,77.5475601071586,22.452439892841404,39.3027908711723,38.2447692359863,22.4524398928414,0.0,50.682175966415954,49.317824033584046,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,45360.0,0,45360.0,92.99632887431291,4710.202861176143,174326.86446830636,4544.4400000000005,9347.639190050457,119619.22527825591
9,gasoline,2020,sim_config,random_greedy,Seat Leon 1.5 TSI 2020,200,sim_config,True,True,,sim_config,num_parkings,400,100,reactive,closest_queueing,True,1,auto,100,False,0,0,False,,frozenset(),1,20,1,False,7,0.65,1,0.15,1,10,0.0019157088122605363,Roma,enjoy,default,6.303427542431827,200,5270400.0,2166720.0,12623,11195,5671,0,29489,23818,5671,0.8076910034250059,0.19230899657499412,0.42805791990233644,0.37963308352266945,0.19230899657499406,0.0,0.5299773280712067,0.4700226719287933,1.0,0.0,199,141545974.95823047,41906580.661665,13884.690080778993,inf,-inf,NA,0,199,0,0,0,0.0,53.765436621416754,54.29289704029118,0.016267877302205618,0.01624316637129292,1.0364583333333333,1.0364583333333333,0,174653176.19028413,52182532.62708,20095.480632763712,83731.1693031821,103826.64993594584,5124.347561354747,22261.368705328056,27385.716266682804,20095.480632763712,83731.16930318212,103826.64993594584,5124.347561354746,22261.368705328056,27385.7162666828,74027.80191569825,143727.9866036562,1.0,1.0,1.0,0,0,0,58.56435828794023,371.9990046014987,380.68995362469485,371.43393753518546,0.0,13884.690080778993,85.39050208853081,603.6821774251737,41883.47752455863,80.7691003425006,19.23089965749941,42.805791990233644,37.96330835226694,19.230899657499407,0.0,52.99773280712067,47.00226719287933,100.0,0.0,0.0,100.0,100.0,100.0,0,0,0,50400.0,0,50400.0,88.70774218275467,4896.89486861241,181595.182867215,4890.4400000000005,9876.042610795164,121319.14025641982
